x,y,z,r,g,b
87,0,37,0.25882352941176473,0.29411764705882354,0.30980392156862746
32,20,51,0.03800904977375565,0.046757164404223235,0.05158371040723982
21,1,67,0.44313725490196076,0.38823529411764707,0.3333333333333333
107,17,13,0.5673202614379085,0.47450980392156866,0.41830065359477125
1,1,7,0.4712418300653595,0.4124183006535947,0.3535947712418301
10,33,37,0.592156862745098,0.49019607843137253,0.42745098039215684
10,4,28,0.48496732026143796,0.37777777777777777,0.29411764705882354
65,0,28,0.2705882352941177,0.303921568627451,0.3235294117647059
5,15,58,0.3693404634581105,0.34046345811051704,0.263458110516934
55,50,49,0.6196078431372549,0.5215686274509804,0.47843137254901963
17,60,34,0.4725490196078431,0.43137254901960786,0.4156862745098039
10,28,34,0.5359477124183006,0.4366013071895425,0.3542483660130719
69,5,73,0.08959787304752408,0.08853439680957124,0.09823861748089067
25,0,63,0.27450980392156865,0.30718954248366015,0.32679738562091504
2,0,72,0.28627450980392155,0.3196078431372549,0.3392156862745098
28,0,13,0.27450980392156865,0.307843137254902,0.3254901960784314
80,2,73,0.016591251885369536,0.04193061840120664,0.08898944193061839
28,20,52,0.03431372549019608,0.046078431372549015,0.051960784313725486
10,19,32,0.5607843137254902,0.4549019607843137,0.37254901960784315
23,46,0,0.6104575163398692,0.5320261437908497,0.48104575163398694
31,22,51,0.05725490196078431,0.06509803921568627,0.06666666666666668
115,1,12,0.4176470588235294,0.3509803921568627,0.29411764705882354
20,25,51,0.10849673202614378,0.10784313725490195,0.10130718954248365
4,1,24,0.35490196078431374,0.3176470588235294,0.2450980392156863
57,23,54,0.5816993464052288,0.5261437908496732,0.43921568627450985
10,14,8,0.5509803921568628,0.44901960784313727,0.37058823529411766
8,1,41,0.33254901960784317,0.29568627450980395,0.23607843137254902
113,42,9,0.611764705882353,0.5705882352941176,0.5490196078431373
16,60,14,0.5281045751633987,0.4875816993464053,0.46535947712418296
63,38,49,0.5908496732026144,0.4928104575163399,0.44836601307189544
10,17,25,0.5519607843137255,0.45294117647058824,0.37941176470588234
22,0,59,0.27058823529411763,0.30686274509803924,0.3264705882352941
7,58,0,0.5781512605042015,0.511484593837535,0.46554621848739497
10,34,27,0.5862745098039216,0.4862745098039216,0.42352941176470593
108,1,27,0.31176470588235294,0.2761437908496732,0.21960784313725493
5,1,26,0.33856209150326794,0.3084967320261438,0.23921568627450981
5,2,58,0.4344811095169776,0.4162123385939739,0.3680535628885696
58,0,40,0.26862745098039215,0.30196078431372547,0.3215686274509804
70,29,48,0.5203921568627452,0.48039215686274517,0.3564705882352941
10,5,4,0.5109243697478991,0.40392156862745093,0.30364145658263314
62,60,16,0.5411764705882354,0.5,0.4784313725490196
75,0,64,0.27058823529411763,0.303921568627451,0.3215686274509804
48,0,69,0.27058823529411763,0.30196078431372547,0.3176470588235294
0,0,4,0.3545098039215687,0.291372549019608,0.2136274509803922
30,0,19,0.27254901960784317,0.3058823529411765,0.3215686274509804
53,0,67,0.26666666666666666,0.2980392156862745,0.3137254901960784
6,1,69,0.4764705882352941,0.4137254901960784,0.3509803921568627
34,0,66,0.2705882352941177,0.3019607843137255,0.3176470588235294
92,9,68,0.030861040068201194,0.21329923273657295,0.25456095481670926
10,29,41,0.477124183006536,0.3830065359477124,0.29673202614379085
45,19,56,0.3931372549019608,0.34901960784313724,0.2705882352941177
5,23,57,0.3957767722473605,0.5046757164404223,0.4699849170437406
51,17,3,0.6176470588235294,0.5274509803921569,0.4647058823529412
104,60,4,0.5398692810457516,0.477124183006536,0.4444444444444444
62,1,79,0.4627450980392157,0.40980392156862744,0.3588235294117647
10,26,22,0.5790849673202615,0.4758169934640522,0.3986928104575163
3,1,38,0.4196078431372549,0.3686274509803922,0.2980392156862745
47,1,50,0.16470588235294117,0.1495798319327731,0.13277310924369748
107,27,27,0.6039215686274509,0.5058823529411764,0.43529411764705883
11,1,58,0.4862745098039216,0.4156862745098039,0.3568627450980392
100,16,51,0.01437908496732026,0.009150326797385621,0.011764705882352941
23,16,56,0.048179271708683476,0.09131652661064427,0.1053221288515406
14,38,49,0.6705882352941176,0.6104575163398693,0.5633986928104575
0,1,6,0.48583877995642705,0.41525054466230926,0.3555555555555556
32,8,3,0.5843137254901961,0.5019607843137255,0.44705882352941173
76,1,60,0.36470588235294116,0.3235294117647059,0.27647058823529413
4,0,69,0.2901960784313726,0.3215686274509804,0.33725490196078434
88,2,59,0.36601307189542487,0.3281045751633987,0.24705882352941178
24,0,9,0.2647058823529412,0.3,0.3176470588235294
91,0,25,0.2758169934640523,0.30718954248366015,0.32287581699346407
49,7,49,0.18823529411764706,0.16470588235294117,0.1411764705882353
2,1,55,0.4549019607843137,0.3908496732026144,0.33464052287581697
70,14,3,0.5901960784313726,0.5,0.4411764705882353
10,0,67,0.28104575163398693,0.3111111111111111,0.330718954248366
24,9,64,0.036862745098039225,0.16862745098039214,0.19686274509803928
86,60,32,0.5513725490196079,0.4988235294117647,0.47294117647058825
84,15,67,0.33923549217666815,0.5149138443256092,0.5284214695979403
19,59,0,0.592156862745098,0.5107843137254902,0.45686274509803926
4,1,34,0.37254901960784315,0.33333333333333337,0.26274509803921564
41,7,49,0.1784313725490196,0.15490196078431373,0.13529411764705884
7,0,74,0.2862745098039215,0.31437908496732025,0.3300653594771242
