x,y,z,r,g,b
2,0,15,0.358349146110057,0.34623655913978485,0.330075901328273
11,2,20,0.43854166666666644,0.37555147058823496,0.18584558823529396
24,4,13,0.38961128310973475,0.33966288269693823,0.30216718266253856
0,0,1,0.39761630142252974,0.3335024990388314,0.265051903114187
22,16,8,0.5628818969448248,0.5024167806657551,0.4716370269037844
4,3,12,0.3900807381776241,0.3206459054209919,0.2741637831603228
2,12,3,0.6414254590725177,0.5573918456271398,0.5159041394335513
3,10,6,0.5975376196990428,0.494391244870041,0.4200638394892841
7,0,10,0.27499999999999997,0.30653594771241816,0.32173202614379076
17,6,12,0.41662996749501924,0.3512635000524274,0.28675684177414296
0,0,2,0.39397180359747186,0.3575109382596012,0.31265597147950064
17,16,9,0.5065643648763853,0.465302642796249,0.452685421994885
3,1,9,0.4794117647058819,0.37415329768270966,0.28368983957219246
3,15,6,0.4939542483660131,0.4576797385620916,0.4416666666666668
24,11,1,0.5957422969187677,0.5105882352941176,0.46207282913165276
17,15,2,0.5401960784313726,0.4980392156862745,0.47475490196078435
14,6,1,0.6068627450980393,0.5183823529411765,0.4556372549019609
16,0,2,0.27359477124183,0.3078431372549019,0.3270588235294118
13,6,1,0.6068347338935576,0.5151820728291316,0.455014005602241
3,7,13,0.4857290284534868,0.4069438301636446,0.3562730355300014
4,10,1,0.5980703392468104,0.5124183006535953,0.46156240273887267
1,0,5,0.31160990712074293,0.31589267285861694,0.2965944272445819
18,16,10,0.5733603786342125,0.5082262790173546,0.481857110660356
5,2,1,0.5812240047534166,0.4953060011883542,0.4382650029708855
22,11,1,0.601893171061528,0.5164300202839756,0.46382691007437465
27,5,6,0.5948235294117645,0.5066666666666666,0.45098039215686286
17,16,8,0.5572387859253295,0.496105291431641,0.4643029814665585
0,0,3,0.3754010695187164,0.34656367597544036,0.30794216676569575
19,4,1,0.5984696317551415,0.509325681492109,0.45394548063127677
3,1,14,0.22234597981204296,0.21369068337394106,0.19410604478477736
6,15,11,0.525,0.48811274509803926,0.4709558823529412
27,15,5,0.48948306595365404,0.4130124777183601,0.3605169340463462
20,11,1,0.603376906318083,0.5183006535947715,0.46339869281045754
1,1,14,0.528196630764982,0.5170394918530792,0.46589339961336634
0,0,4,0.3609243697478988,0.3401960784313723,0.3091736694677866
13,0,16,0.2751065643648766,0.30647911338448447,0.3243819266837172
3,10,12,0.6485733603786339,0.5781203515889117,0.5294388100067615
2,15,0,0.5590992647058828,0.4911151960784313,0.4509497549019604
2,12,5,0.6313725490196074,0.5449051751848283,0.5018322082931533
3,2,10,0.4726890756302522,0.3777310924369749,0.2977591036414565
4,4,14,0.21276688453159046,0.1910675381263616,0.17812636165577345
0,0,5,0.3669977081741784,0.3432645785586959,0.30853068500127295
1,3,14,0.33202614379084966,0.3432679738562091,0.3129411764705882
19,2,12,0.1660130718954248,0.15054466230936814,0.1318082788671024
5,12,13,0.6308761479275256,0.5618267560188634,0.5215189873417723
27,10,2,0.5765274225632285,0.48525149190110756,0.4297811878374532
1,0,4,0.33413654618473865,0.32643515237420245,0.29534609024332603
4,7,14,0.5052287581699343,0.4248868778280537,0.37285067873303124
22,1,16,0.4040753556324488,0.34963475586312964,0.29442522106881974
6,1,1,0.5332107843137255,0.44522058823529426,0.38615196078431396
3,1,7,0.4773618538324421,0.3725490196078434,0.2791443850267379
6,0,4,0.2732843137254902,0.30514705882352944,0.3225490196078432
27,1,10,0.5256410256410257,0.42579185520362006,0.36168929110105597
24,15,4,0.4939911448450348,0.44478178368121457,0.4237824161922836
3,15,8,0.4942401960784314,0.45441176470588246,0.4395833333333335
1,0,6,0.318406072106262,0.3183428209993675,0.293674889310563
3,1,5,0.49135802469135803,0.3856209150326798,0.2884531590413943
1,0,7,0.32243270189431716,0.32462612163509474,0.3019607843137256
25,0,7,0.2723900370959196,0.30620031796502395,0.3236883942766297
11,4,17,0.38850615321203524,0.5792969440028259,0.6152269916975791
9,15,3,0.5225490196078431,0.47983193277310926,0.4592436974789917
26,0,18,0.3741176470588234,0.35772549019607847,0.3365490196078432
2,6,14,0.30889894419306185,0.4159879336349925,0.41085972850678737
13,5,14,0.4749803921568626,0.4147843137254899,0.33615686274509765
5,6,1,0.6160042395336515,0.5257021727609965,0.4650768415474298
1,0,8,0.31611519607843147,0.32156862745098036,0.3030024509803922
8,1,17,0.08378900856117091,0.1689036177851422,0.19027892847279748
6,9,12,0.6556528994576559,0.5848977889027956,0.5340842720066754
2,5,15,0.34665272331154734,0.33843311546841065,0.30507363834422757
16,0,6,0.2702087286527514,0.30423782416192285,0.3229601518026566
1,0,9,0.3237851662404092,0.32287581699346396,0.2986075589656151
0,0,9,0.3814379084967317,0.3469803921568625,0.30237908496732
11,1,20,0.3587602783048702,0.3115117014547754,0.16831119544592027
18,3,1,0.5974699557242252,0.5071473750790638,0.4498418722327642
4,0,19,0.3612563543936091,0.35145243282498156,0.33645606390704397
17,6,13,0.3179264826323656,0.26548152430505434,0.2128727658139427
7,0,18,0.3526610644257704,0.34215686274509816,0.32184873949579834
1,4,15,0.44720142602495544,0.3908734402852049,0.30003565062388615
28,12,8,0.519800076893503,0.43452518262206813,0.38477508650519027
4,0,10,0.2707282913165266,0.3039215686274509,0.3224089635854342
8,7,1,0.6095424836601306,0.5241830065359476,0.4669281045751635
23,0,7,0.27305737109658673,0.30428467683369637,0.31997095134350034
0,0,10,0.38201307189542444,0.34718954248365985,0.3039477124183003
21,6,12,0.3948114630467568,0.35052790346907975,0.29749622926093516
2,12,11,0.6075079604491368,0.5263616557734206,0.4881179822356293
2,0,6,0.28686730506155933,0.2948928408572729,0.27181942544459625
23,2,1,0.5736928104575162,0.492483660130719,0.4418300653594773
1,0,10,0.3337254901960785,0.32797385620915037,0.3007189542483661
15,2,17,0.06594427244582038,0.23336773305813513,0.2695906432748533
5,13,13,0.6658088235294121,0.5996936274509809,0.5566176470588241
10,3,13,0.17670126874279116,0.16894051738342375,0.14895369912670936
27,1,7,0.5164631890492045,0.4182759896411392,0.3499075101738809
1,0,11,0.3269607843137253,0.321519607843137,0.29357843137254863
7,0,19,0.36425339366515835,0.3542986425339368,0.3361990950226244
3,2,7,0.4936274509803919,0.39235294117647085,0.3094117647058824
4,0,21,0.35781249999999987,0.338143382352941,0.3141544117647057
1,4,14,0.3372549019607844,0.3157422969187675,0.25400560224089647
0,0,11,0.3779788838612366,0.34594268476621404,0.30443438914027127
2,0,9,0.2923796791443848,0.29576648841354686,0.27762923351158625
29,1,20,0.2275666988106719,0.1762520090003216,0.12173577627772413
5,0,4,0.26654016445287787,0.30082226438962684,0.3168880455407969
0,0,8,0.38420325876829586,0.34813587406793683,0.30218171775752534
2,12,9,0.6196839901008948,0.5405292213972969,0.5069103369503141
3,1,10,0.47680865449628135,0.37295469912102786,0.27545638945233264
0,0,7,0.369290251311792,0.3412869373101351,0.3025683512841755
18,4,1,0.5988970588235295,0.5078431372549019,0.4491421568627452
3,4,10,0.5322128851540617,0.43462184873949594,0.34420168067226903
10,7,14,0.3880143606738474,0.3298536315934823,0.2834576083954707
8,7,12,0.5077614379084963,0.4477941176470585,0.4021241830065359
6,4,16,0.20066571564431837,0.3880674666442897,0.41780090067410725
6,2,13,0.07713765918738617,0.1286436223974123,0.14325854052961356
14,6,20,0.3120448179271709,0.2588235294117647,0.2005602240896359
27,5,13,0.5187478500171996,0.4331269349845207,0.3590918472652223
0,0,6,0.3743909685086153,0.34557338086749834,0.3060011883541293
13,6,20,0.3084967320261438,0.25359477124183005,0.18562091503267975
3,4,11,0.5373856209150325,0.4411764705882354,0.3490196078431373
7,0,14,0.27429782723900387,0.30726020137784854,0.32665606783253853
10,0,7,0.2738823529411764,0.3041568627450979,0.32125490196078416
2,0,8,0.2832806240775878,0.28812987560615605,0.2659076533839341
20,0,5,0.27167004732927647,0.3031778228532792,0.3210277214334009
21,3,13,0.13587081891580188,0.1477959981946748,0.13813750564164326
2,0,7,0.3029757785467126,0.2988696655132639,0.27280276816608984
3,12,6,0.4934640522875816,0.407843137254902,0.3525054466230937
